Resource ID(s),Unique Identifier,Item Title,Date,Date Type,Digitization Nomination,Checksum Type,Publisher,Subject,Contributor,Description,Rights Statement,Storage Location,Physical Format,Generations,Condition,Asset Type,Channel Configuration Physical,Rights Summary,Language,Channel Configuration Digital,Preservation Sample Rate,Preservation Bit Depth,Digitization Grant,Duration Physical,Written notes on casing,Removal Nomination,Related Item IDs,Ancillary Materials,Program Name,Digital QC notes,Preservation Filename,Preservation File Location,Preservation Filesize,Checksum Value,Digitization Vendor,KBOO episode ID,Proxy Filename,Temporal Coverage,Date Digitized,Duration Digital,Audio Time Start,Spatial Coverage,Identifier2,IdentifierSource2
16815,CS-1114,CS-1114 title,1999-10-03,unknown,,,,Animals,Paul Watson,at PSU whales,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,1/8 inch audio cassette,,,,,Non-Saleable,,,,,,,,,,,,,,,,,,,,,,,,,,
18208,CS-0781,KBOO interview,1999-10-01,unknown,,,,,Martin Prechtel,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,1/8 inch audio cassette,,,,,Saleable,,,,,,,,,,,,,,,,,,,,,,,,,,
18192,CS-0765,Portland speech-TheWildernessWithin,1999-10-01,unknown,,,,Environment/Climate,Peg Millett,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,1/8 inch audio cassette,,,,,Saleable,,,,,,,,,,,,,,,,,,,,,,,,,,
18120,CS-0693,RebeccaGilbert-Ind.PublishingResourceCenter,1999-10-01,unknown,,,,Civil Liberties,Chloe Eudaly,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,1/8 inch audio cassette,,,,,Saleable,,,,,,00:30:00,,,,,,,,,,,,,,,,,,,,
11755,10-1328,10-1328 title,1999-09-28,unknown,,,,Indigenous,Rick Rubin,wroteNakedAgainstTheRain:LowerColumbiaIndians,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,1/4 inch audio tape,,,,,Saleable,,,,,,00:54:06,,,,,,,,,,,,,,,,,,,,
17069,CS-1368,Discussion of Pacifica meltdown,1999-09-26,unknown,curious as to what this is-SC,,,"History, Media",,KBOO history,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,1/8 inch audio cassette,,,,,Saleable,,,,,,,,,,,,,,,,,,,,,,,,,,
18375,CS-0948,CS-0948 title,1999-09-22,unknown,,,,"Sexuality, Women",Susie Bright,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,1/8 inch audio cassette,,,,,Non-Saleable,,,,,,,,,,,,,,,,,,,,,,,,,,
13902,7-1618,7-1618 title,1999-09-21,unknown,,,,,Helen Caldicott,TimeOfUsefullConsciousness-intvw-various topics,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,1/4 inch audio tape,,,,,Non-Saleable,,,,,,00:58:00,,,,,,,,,,,,,,,,,,,,
16811,CS-1110,Falun Gong seminar in Portland,1999-09-15,unknown,,,,Faith/Religion/Spirituality,Charles Wu,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,1/8 inch audio cassette,,,,,Saleable,,,,,,,,,,,,,,,,,,,,,,,,,,
11555,10-1128,Alternative Radio,1999-09-14,unknown,No,,Alternative Radio,"Science/Technology, Energy/Natural Resources, Health",Helen Caldicott,Alternative Radio-Why To Care About Y2K,This is an Alternative Radio program.,KBOO Archives Room,1/4 inch audio tape,,,Episode,,Non-Saleable,,,,,,00:59:00,,,,,,,,,,,,,,,,,,,,
15484,CD-1432,CD-1432 title,1999-09-10,unknown,,,,,Will Stolzenberg,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,CD,,,,,Non-Saleable,,,,,,,,,,,,,,,,,,,,,,,,,,
